,frame_index,car_id,car_type,speed
629,235,35,car,220.0
630,235,37,car,300.0
631,236,27,car,180.0
632,236,35,car,220.0
633,236,37,car,300.0
634,237,27,car,200.0
635,237,35,car,240.0
636,237,37,car,260.0
637,238,27,car,200.0
638,238,35,car,200.0
639,238,37,car,240.0
640,239,27,car,220.0
641,239,35,car,160.0
642,239,37,car,240.0
643,240,27,car,220.0
644,240,35,car,160.0
645,240,37,car,240.0
646,241,27,car,240.0
647,241,35,car,180.0
648,241,37,car,220.0
649,242,27,car,260.0
650,242,35,car,200.0
651,242,37,car,220.0
652,243,27,car,280.0
653,243,35,car,180.0
654,243,37,car,220.0
655,244,27,car,280.0
656,244,35,car,200.0
657,244,37,car,220.0
658,245,27,car,280.0
659,245,35,car,200.0
660,245,37,car,200.0
661,246,27,car,300.0
662,246,35,car,160.0
663,246,37,car,180.0
664,247,27,car,320.0
665,247,35,car,160.0
666,247,37,car,180.0
667,248,27,car,340.0
668,248,35,car,160.0
669,248,37,car,160.0
670,249,27,car,380.0
671,249,35,car,140.0
672,249,37,car,200.0
673,250,27,car,380.0
674,250,35,car,140.0
675,250,37,car,220.0
676,251,27,car,400.0
677,251,35,car,160.0
678,251,37,car,160.0
679,252,27,car,440.0
680,252,35,car,160.0
681,252,37,car,140.0
682,253,27,car,500.0
683,253,35,car,180.0
684,253,37,car,160.0
685,254,27,car,540.0
686,254,35,car,180.0
687,254,37,car,140.0
688,255,27,car,560.0
689,255,35,car,140.0
690,255,37,car,140.0
691,256,27,car,600.0
692,256,37,car,180.0
693,257,27,car,660.0
694,257,35,car,140.0
695,257,37,car,140.0
696,258,27,car,720.0
697,258,35,car,140.0
698,259,27,car,760.0
699,259,37,car,140.0
700,260,27,car,840.0
701,261,27,car,940.0
702,262,27,car,1060.0
703,262,31,car,140.0
704,262,37,car,140.0
705,263,27,car,1200.0
706,263,31,car,160.0
707,263,37,car,160.0
708,264,27,car,1320.0
709,264,31,car,140.0
710,264,37,car,140.0
711,265,31,car,140.0
712,266,31,car,160.0
713,266,35,car,140.0
714,267,31,car,160.0
715,267,38,car,380.0
716,268,31,car,140.0
717,268,38,car,340.0
718,269,31,car,180.0
719,269,38,car,380.0
720,270,31,car,180.0
721,270,38,car,380.0
722,271,31,car,200.0
723,271,38,car,340.0
724,272,31,car,220.0
725,272,38,car,280.0
726,273,31,car,200.0
727,273,38,car,280.0
728,273,40,car,260.0
729,274,31,car,220.0
730,274,38,car,300.0
731,274,40,car,300.0
732,275,31,car,240.0
733,275,38,car,340.0
734,275,40,car,280.0
735,276,31,car,240.0
736,276,38,car,280.0
737,276,40,car,260.0
738,277,31,car,280.0
739,277,38,car,240.0
740,277,40,car,320.0
741,278,31,car,280.0
742,278,38,car,240.0
743,278,40,car,320.0
744,279,31,car,280.0
745,279,38,car,280.0
746,279,40,car,320.0
747,280,31,car,280.0
748,280,38,car,260.0
749,280,40,car,340.0
750,281,31,car,280.0
751,281,38,car,240.0
752,281,40,car,360.0
753,281,41,car,320.0
754,282,31,car,340.0
755,282,38,car,240.0
756,282,40,car,400.0
757,282,41,car,260.0
758,283,31,car,360.0
759,283,38,car,200.0
760,283,40,car,340.0
761,283,41,car,260.0
762,284,31,car,380.0
763,284,38,car,200.0
764,284,40,car,300.0
765,284,41,car,280.0
766,285,31,car,380.0
767,285,38,car,220.0
768,285,40,car,340.0
769,285,41,car,280.0
770,286,31,car,420.0
771,286,38,car,220.0
772,286,40,car,320.0
773,286,41,car,260.0
774,287,31,car,480.0
775,287,38,car,180.0
776,287,40,car,300.0
777,287,41,car,260.0
778,288,31,car,500.0
779,288,38,car,160.0
780,288,40,car,300.0
781,288,41,car,260.0
782,289,31,car,520.0
783,289,38,car,180.0
784,289,40,car,300.0
785,289,41,car,220.0
786,290,31,car,540.0
787,290,38,car,180.0
788,290,40,car,240.0
789,290,41,car,180.0
790,291,31,car,620.0
791,291,38,car,180.0
792,291,40,car,260.0
